name;url;section
"Группа ""Дизайн экстерьера""";1;15
"Группа ""Дизайн интерьера""";2;15
"Группа ""Кузов и экстерьер""";3;15
"Группа ""Электрическая часть""";4;25
"Группа ""Интерьер""";5;25
"Группа ""Тепловые агрегаты""";6;26
"Группа ""Шасси и силовая установка""";7;26
Группа качества SKD;8;35
Группа оказания поддержки производству;9;35
Группа координации по рекламациям;10;35
Начальной проверки А смена;11;36
Начальной проверки B смена;12;36
Начальной проверки D смена;13;36
Завершающей проверки Асмена;14;37
Завершающей проверки B смена;15;37
Завершающей проверки D смена;16;37
Участок VAA;17;37
Участок GCA;18;38
Группа Нормативно-справочная информация;19;56
Группа администрирования и разработки;20;56
Парк грузовых автомобилей (спецавтомобили);21;73
Транспортный участок в г.Ангрене;22;73
Парк автобусов и легковых автомобилей(легкового);23;74
"Участок 1200 Т.Р. ""А"" смена";24;91
"Участок 2400 Т.Р. ""А"" смена";25;91
"Участок 3500 Т.Р. ""А"" смена";26;91
"Участок Blanking ""А"" смена";27;91
"Участок Die repair ""А"" смена";28;91
"Участок ""Крановщик"" ""А"" смена";29;91
"Участок TANDEM ""А"" смена";30;91
"Участок Panel repair ""А"" смена";31;91
"Вспомогательный участок ""А"" смена";32;91
"Участок 1200 Т.Р. ""B"" смена";33;92
"Участок 2400 Т.Р. ""B"" смена";34;92
"Участок 3500 Т.Р. ""B"" смена";35;92
"Участок Blanking ""B"" смена";36;92
"Участок Die repair ""B"" смена";37;92
"Участок ""Крановщик"" ""B"" смена";38;92
"Участок TANDEM ""B"" смена";39;92
"Участок Panel repair ""B"" смена";40;92
"Вспомогательный участок ""B"" смена";41;92
"Участок 1200 Т.Р. ""D"" смена";42;93
"Участок ""Крановщик"" ""D"" смена";43;93
Участок TANDEM;44;93
"Участок 2250 Т.Р. ""A"" смена PR2";45;94
"Участок 1800 Т.Р. ""A"" смена PR2";46;94
"Участок Blanking ""A"" смена PR2";47;94
"Участок Die repair ""A"" смена PR2";48;94
"Участок Panel repair ""A"" смена PR2";49;94
"Участок ""Крановщик"" ""A"" смена PR2";50;94
"Вспомогательный участок ""A"" смена PR2";51;94
"Участок 2250 Т.Р. ""B"" смена PR2";52;95
"Участок 1800 Т.Р. ""B"" смена PR2";53;95
"Участок Blanking ""B"" смена PR2";54;95
"Участок Die repair ""B"" смена PR2";55;95
"Участок Panel repair ""B"" смена PR2";56;95
"Участок ""Крановщик"" ""B"" смена PR2";57;95
"Вспомогательный участок ""B"" смена PR2";58;95
"Участок 2250 Т.Р. ""D"" смена PR2";59;96
"Участок 1800 Т.Р. ""D"" смена PR2";60;96
"Участок Blanking ""D"" смена PR2";61;96
"Участок Die repair ""D"" смена PR2";62;96
"Участок Panel repair ""D"" смена PR2";63;96
"Вспомогательный участок ""D"" смена PR2";64;96
"Участок ""Крановщик"" ""D"" смена PR2";65;98
Св. цех №1 (IMPROVEMENT)   ;66;98
"Св. цех №1. Уч. ""Подсчёт""";67;98
Свар-1. Уч. REPAIR (IQS);68;99
Свар. цех №1 (CHEKMAN C-см)   ;69;99
Свар. цех №1 (N/R3 CHEKMAN А-см)   ;70;99
Свар. цех №1 (N/R3 CHEKMAN B-см)   ;71;99
Свар. цех №1 (N/R3 CHEKMAN D-см)   ;72;100
Свар. цех №1 (B.I.W. LINE A-см)   ;73;100
Свар. цех №1 (B.I.W. LINE B-см)   ;74;100
Свар. цех №1 (B.I.W. LINE D-см)   ;75;101
Свар-1. Уч. REPAIR A ;76;101
Свар-1. Уч. REPAIR B;77;101
Свар-1. Уч. REPAIR D;78;102
Свар. цех №1 (NEXIA R3)   A;79;102
Свар. цех №1 (NEXIA R3)   B;80;102
Свар. цех №1 (NEXIA R3)   D;81;104
Свар. цех №1 (S/B MATIZ)   ;82;104
Свар. цех №1 (U/B MATIZ)   ;83;104
Свар. цех №1 (CLOSURE MATIZ)   ;84;105
"Свар. цех №1 (линия ""GENTRA"") A-Смена";85;105
"Свар. цех №1 (линия ""GENTRA"") B-Смена";86;105
"Свар. цех №1 (линия ""GENTRA"") D-Смена";87;106
Свар. цех №2 REPAIR;88;106
Свар. цех №2 REPAIR  A-см;89;107
Участок B/W (SPARK,COBALT-A см);90;107
Уч. Main body/Under body-A см);91;107
Участок SIDE body / SUB (SPARK-A см);92;107
Уч. CLOSURE LINE(SPARK-A см);93;107
Сварочный цех № 2 (COBALT A-см);94;107
Уч. MOTOR COM.P (COBALT A-см);95;107
Участок MOTOR COM.P (COB-A см);96;107
Уч. MAIN RESPOT (COBALT A-см);97;107
Участок M/P SUB (COBALT A-см);98;107
Участок SIDE BODY (COBALT-A см);99;107
Уч. SIDE FRAMING (COBALT-A см);100;107
Участок CLOSING (COBALT-A см);101;107
Уч. UNDER BODY (COBALT -A см);102;108
Участок B/W (SPARK,COBALT-B см);103;108
Уч. Main body/Under body-B см);104;108
Участок SIDE body/SUB (SPARK-B см);105;108
Уч. CLOSURE LINE(SPARK-B см);106;108
Участок B/W (SPARK,COBALT-B см);107;108
Уч.  MOTOR COM.P (COBALT B-см);108;108
Участок MOTOR COM.P (COB-B см);109;108
Уч. MAIN RESPOT (COBALT B-см);110;108
Участок M/P SUB (COBALT B-см);111;108
Участок SIDE BODY (COBALT-B см);112;108
Уч. SIDE FRAMING (COBALT-B см);113;108
Участок CLOSING (COBALT-B см);114;108
Уч. UNDER BODY (COBALT -B см);115;109
"Окр. цех ""С""см. (CLEANING)";116;109
"Окр. цех ""C""см. (FINAL-REP)";117;111
"Окрасочный цех  ""А"" см. (PT-ED)";118;111
"Окрасочный цех  ""А"" см. (SEALING)";119;111
"Окрасочный цех  ""А"" см. (TOP/C-1 )";120;111
"Окрасочный цех  ""А"" см. (TOP/C-2 )";121;111
"Окрасочный цех  ""А"" см. (U/C PRIM)";122;111
"Окрасочный цех ""А""см. (FINAL-REP)";123;111
"Окрасочный цех  ""А"" см. (INSPEC)";124;111
"Окрасочный цех ""А""см.(INS-REPAIR)";125;111
"Окрасочный цех  ""А"" см. (T.D.SAND)";126;111
"Окрасочный цех ""А""см. (MIX-ROOM)";127;111
"Окр. цех ""A""см. (IMPROVEMENT)";128;111
"Окрасочный цех ""А""см. (CLEANING)";129;112
"Окрасочный цех  ""B"" см. (PT-ED)";130;112
"Окрасочный цех  ""B"" см. (SEALING)";131;112
"Окрасочный цех  ""B"" см. (TOP/C-1 )";132;112
"Окрасочный цех  ""B"" см. (TOP/C-2 )";133;112
"Окрасочный цех  ""B"" см. (U/C PRIM)";134;112
"Окрасочный цех ""B""см. (FINAL-REP)";135;112
"Окрасочный цех  ""B"" см. (INSPEC)";136;112
"Окрасочный цех ""B""см.(INS-REPAIR)";137;112
"Окрасочный цех  ""B"" см. (T.D.SAND)";138;112
"Окрасочный цех ""B""см. (MIX-ROOM)";139;112
"Окр. цех ""B""см. (IMPROVEMENT)";140;112
"Окрасочный цех ""B""см. (CLEANING)";141;113
"Окрасочный цех  ""D"" см. (PT-ED)";142;113
"Окрасочный цех  ""D"" см. (SEALING)";143;113
"Окрасочный цех  ""D"" см. (TOP/C-1 )";144;113
"Окрасочный цех  ""D"" см. (TOP/C-2 )";145;113
"Окрасочный цех  ""D"" см. (U/C PRIM)";146;113
"Окрасочный цех ""D""см. (FINAL-REP)";147;113
"Окрасочный цех  ""D"" см. (INSPEC)";148;113
"Окрасочный цех ""D""см.(INS-REPAIR)";149;113
"Окрасочный цех  ""D"" см. (T.D.SAND)";150;113
"Окрасочный цех ""D""см. (MIX-ROOM)";151;113
"Окр. цех ""D""см. (IMPROVEMENT)";152;113
"Окрасочный цех ""D""см. (CLEANING)";153;114
"Секция ""Учёт и поддержка производства"" A-см";154;114
"Секция ""Учёт и поддержка производства"" B-см";155;114
"Секция ""Учёт и поддержка производства"" D-см";156;114
Сборочная линия №1;157;116
Сборочная линия №2;158;116
"Сборочная линия №3 (""Ремонт и комплектация"")";159;129
"Участок ""MECHANICS"" А-см.";160;129
"Участок ""Die repair"" A-см.";161;129
"Участок ""CAD/CAM"" А-см.";162;130
"Участок ""MECHANICS"" В-см.";163;130
"Участок ""Die repair"" В-см.";164;130
"Участок ""CAD/CAM"" В-см.";165;131
"Участок ""MECHANICS"" D-см.";166;131
"Участок ""Die repair"" D-см.";167;131
"Участок ""CAD/CAM"" D-см.";168;132
Группа техобслуживания прессового цеха №1;169;132
Группа техобслуживания прессового цеха №2;170;133
Группа техобслуживания сварочного цеха №1;171;133
Группа техобслуживания сварочного цеха №2;172;134
Группа техобслуживания окрасочного цеха;173;135
Группа техобслуживания сборочного цеха;174;136
Группа планирования и развития;175;136
Группа контроля материалов;176;136
Группа по специальному ремонту;177;159
"Cекция хранения крупных материалов №1 ""А""  смена";178;159
"Cекция хранения крупных материалов №1 ""В""  смена";179;159
"Cекция хранения крупных материалов №1 ""D""  смена";180;160
"Cекция хранения мелких и средных материалов ""А""  смена";181;160
"Cекция хранения мелких и средных материалов ""В""  смена";182;160
"Cекция хранения мелких и средных материалов ""D""  смена";183;161
"Cекция снабжения материалами №1 ""А""  смена";184;161
"Cекция снабжения материалами №1 ""B""  смена";185;161
"Cекция снабжения материалами №1 ""D"" смене";186;162
"Секция учёт материалов ""A"" смена";187;162
"Секция учёт материалов ""В"" смена";188;162
"Секция учёт материалов ""D"" смена";189;163
"Cекция хранения материалов №2 ""А""  смена";190;163
"Cекция хранения материалов №2 ""B""  смена";191;163
"Cекция хранения материалов №2 ""D""  смена";192;164
"Cекция снабжения материалами №2 ""А""  смена";193;164
"Cекция снабжения материалами №2 ""B""  смена";194;164
"Cекция снабжения материалами №2 ""D""  смена";195;182
Магазин запасных частей (на правах группы);196;183
Секция  учёта договоров;197;183
Секция учёта взаиморасчётов;198;183
Секция учёта заработной платы;199;183
Секция учёта платежей;200;184
Секция учёта материалов;201;184
Секция учёта производственных затрат и расчёта себестоимости;202;184
Секция учёта имущества;203;184
Секция учёта претензий;204;185
Секция консолидации и анализа финансовых отчётов по НСБУ;205;185
Секция бухгалтерского учёта и анализа по МСФО;206;185
Секция учёта налогов;207;186
Секция учёта реализации внутреннего рынка;208;186
Секция учёта реализации запасных частей и гарантии;209;186
Секция общей бухгалтерии;210;186
Секция учёта расчётов с зарубежными поставщиками и покупателями;211;194
Группа анализа прямых материалов на единицу автомобиля;212;198
Группа планирования проектов модернизации;213;198
